epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.959,0.87102,0.60542,0.95598,0.85612,0.82404,0.89813,0.69278,0.69003,0.48146,0.96727,0.00018009,0.00018009,0.00018009
2,9.92871,0.81154,0.51918,0.93538,0.88634,0.85193,0.91586,0.70483,0.69683,0.46075,0.94928,0.000365034,0.000365034,0.000365034
3,13.7741,0.8149,0.51661,0.92691,0.85369,0.87026,0.91334,0.70197,0.71238,0.47397,0.94419,0.000548129,0.000548129,0.000548129
4,17.5181,0.80066,0.51732,0.91742,0.87034,0.87001,0.91254,0.70178,0.72869,0.47564,0.94905,0.000657095,0.000657095,0.000657095
5,21.5276,0.81613,0.52115,0.92295,0.87379,0.87266,0.92016,0.69116,0.74693,0.47384,0.95981,0.000653793,0.000653793,0.000653793
6,25.3175,0.80673,0.51271,0.92272,0.90996,0.83897,0.91878,0.70321,0.73777,0.47804,0.95816,0.000650492,0.000650492,0.000650492
7,29.1069,0.80678,0.50864,0.92356,0.87988,0.87319,0.92503,0.70389,0.72375,0.45997,0.94826,0.00064719,0.00064719,0.00064719
8,32.9931,0.80326,0.50756,0.91729,0.86253,0.876,0.92069,0.70008,0.73654,0.46976,0.94859,0.000643888,0.000643888,0.000643888
9,36.6024,0.79813,0.50614,0.92056,0.87447,0.8808,0.92733,0.71418,0.71502,0.46396,0.93602,0.000640587,0.000640587,0.000640587
10,40.5045,0.78045,0.49627,0.91062,0.88908,0.87859,0.92558,0.7151,0.72403,0.45676,0.94141,0.000637285,0.000637285,0.000637285
11,44.235,0.77859,0.49159,0.90845,0.89546,0.86251,0.92271,0.71112,0.72262,0.46603,0.94313,0.000633983,0.000633983,0.000633983
12,47.8449,0.78356,0.50058,0.91573,0.89153,0.8683,0.92608,0.71363,0.72602,0.45753,0.93912,0.000630682,0.000630682,0.000630682
13,51.4164,0.7691,0.491,0.90752,0.90447,0.85637,0.92671,0.71548,0.72836,0.4579,0.94084,0.00062738,0.00062738,0.00062738
14,55.3965,0.7665,0.48558,0.9016,0.87026,0.88096,0.92083,0.71344,0.71843,0.44839,0.93753,0.000624079,0.000624079,0.000624079
15,59.1699,0.7665,0.48889,0.90763,0.88847,0.86553,0.92144,0.71156,0.70617,0.44496,0.93364,0.000620777,0.000620777,0.000620777
16,62.7969,0.76311,0.47699,0.90371,0.91255,0.85068,0.92946,0.71313,0.71895,0.44612,0.93074,0.000617475,0.000617475,0.000617475
